SESSIONKEY,USERID,AGENTLOCATIONID,SESSIONSTARTDATE,LASTTXNDATE,SESSIONDATELOCAL,FUNCTIONID,LOGINKEY,REMOTEADDRESS,TXNREFNO,SESSIONSTATUS,SESSIONDATELOCALLASTACCSSED,OTPNO
uz18282113318453,10005divyas,784101,09/10/18 07:33,09/10/18 07:33,09/10/18 11:33,6105,1882601006570910,10.45.0.185, ,1,09/10/18 11:33,
cl18282113540494,10005divyas,784101,09/10/18 07:35,09/10/18 07:35,09/10/18 11:35,6105,1882601006570910,10.45.0.185, ,1,09/10/18 11:35,
ti18282121224335,10005divyas,784101,09/10/18 08:12,09/10/18 08:12,09/10/18 12:12,6105,1882276406047910,10.45.0.185, ,1,09/10/18 12:12,
um18282015053654,10005divyas,784101,09/10/18 09:50,09/10/18 09:50,09/10/18 13:50,6105,1882740527990010,10.45.0.185, ,1,09/10/18 13:50,
zu18282015100806,10005divyas,784101,09/10/18 09:51,09/10/18 09:51,09/10/18 13:51,6105,1882740527990010,10.45.0.185, ,1,09/10/18 13:51,
tk18282015104394,10005divyas,784101,09/10/18 09:51,09/10/18 09:51,09/10/18 13:51,6105,1882740527990010,10.45.0.185, ,1,09/10/18 13:51,
lb18285023735174,10005amalt,784101,12/10/18 10:37,12/10/18 10:37,12/10/18 14:37,6105,1885468615826520,10.45.0.163, ,1,12/10/18 14:37,
bf18285023740444,10005amalt,784101,12/10/18 10:37,12/10/18 10:37,12/10/18 14:37,6105,1885468615826520,10.45.0.163, ,1,12/10/18 14:37,
yh18285023754316,10005amalt,784101,12/10/18 10:37,12/10/18 10:37,12/10/18 14:37,6105,1885468615826520,10.45.0.163, ,1,12/10/18 14:37,
qn18285023812387,10005amalt,784101,12/10/18 10:38,12/10/18 10:38,12/10/18 14:38,6105,1885468615826520,10.45.0.163, ,1,12/10/18 14:38,
zr18285023925071,10005amalt,784101,12/10/18 10:39,12/10/18 10:39,12/10/18 14:39,6105,1885468615826520,10.45.0.163, ,1,12/10/18 14:39,
uo18288083935268,10005amalt,784101,15/10/18 04:39,15/10/18 04:39,15/10/18 08:39,6105,1888985321433640,10.45.0.163, ,1,15/10/18 08:39,
nl18288083941104,10005amalt,784101,15/10/18 04:39,15/10/18 04:39,15/10/18 08:39,6105,1888985321433640,10.45.0.163, ,1,15/10/18 08:39,
bd18288084008615,10005amalt,784101,15/10/18 04:40,15/10/18 04:40,15/10/18 08:40,6105,1888985321433640,10.45.0.163, ,1,15/10/18 08:40,
vs18288084018981,10005amalt,784101,15/10/18 04:40,15/10/18 04:40,15/10/18 08:40,6105,1888985321433640,10.45.0.163, ,1,15/10/18 08:40,
